Slur,Represents
Chinaman,asian
Ching-Chong,asian
Chink,asian
Gook,asian
Nip,asian
Oriental,asian
Slant,asian
Slant-eye,asian
Slit,asian
Zip,asian
Africoon,black
Coon,black
Coonass,black
Darkie,black
Jigaboo,black
Mandingo,black
Moon Cricket,black
Nig-nog,black
Niggers,black
Nigger,black
Niggeroid,black
Nigglet,black
Nigress,black
Spear-Chucker,black
Thug,black
illegals,hispanic
mexican,hispanic
Beaner,hispanic
Migger,hispanic
Spic,hispanic
Spigger,hispanic
Wetback,hispanic
Hooknose,jewish
JAP,jewish
Jew,jewish
Jew-Bag,jewish
Jewess,jewish
Kike,jewish
Zog,jewish
Camel Jockey,m.e.
Jihadi,m.e.
Rag-head,m.e.
Sand Nigger,m.e.
Terrorist,m.e.
Towel-head,m.e.
Clampett,white
Goombah,white
Gringo,white
Guido,white
Haole,white
Hillbilly,white
Honky,white
Honkie,white
Redneck,white
Wigger,white
