"","x"
"1","yaLL you cant screen record on apple music or the app in general, the screen goes black so !"
"2","@TheRickWilson Does he have a “black friend” too?"
"3","Chessbot  Results: Black to Check in 10 turns
<U+2B1B><U+2B1C> <U+2654> <U+2B1C><U+2B1B> <U+2656> <U+2B1B> <U+2656> 
<U+2B1C><U+2B1B><U+2B1C><U+2B1B><U+2B1C><U+2B1B><U+2B1C><U+2B1B>
 <U+265F>  <U+2658>  <U+265B> <U+2B1C><U+2B1B><U+2B1C><U+2B1B> <U+2655> 
<U+2B1C> <U+265C> <U+2B1C> <U+265C> <U+2B1C><U+2B1B><U+2B1C> <U+265D> 
 <U+265C> <U+2B1C><U+2B1B> <U+2656> <U+2B1B><U+2B1C><U+2B1B><U+2B1C>
<U+2B1C><U+2B1B> <U+2658> <U+2B1B><U+2B1C><U+2B1B> <U+2656> <U+2B1B>
<U+2B1B> <U+2657>  <U+265E> <U+2B1C> <U+265C>  <U+2657> <U+2B1B><U+2B1C>
<U+2B1C><U+2B1B><U+2B1C><U+2B1B> <U+265A> <U+2B1B> <U+2657> <U+2B1B>
Did a bot just predict this #Chess battle?"
"4","@IngrahamAngle What about when Lovie Smith was fired?? Or all other black coaches who’ve been fired, far before the tyrannous all powerful President Trump became accountable...FOR EVERYTHING! NFL has nothing to do with politics. They’re thick headed morons in tights with a football!"
"5","Check out what I just added to my closet on Poshmark: Black Choker Set. https://t.co/ElrayQabRo via @poshmarkapp #shopmycloset"
"6","@LifeOfCherelle @kzshabazz @klford7602 I'm in a war for my life like the rest of the Black World  and I'm not concerned about niceties at this point in the game.  That's the problem with us as a people, always wanting to play footsie with white supremacy while it kills us en masse daily, including using proxies."
"7","In the past, I've constantly stated where I was born and raised to emphasize that, after a certain age, being raised in a sick environment is no excuse for the ridiculous buffoonery that is exhibited by so called black adults."
"8","Black ‘Neo-Nazi’ Arrested for Antisemitic Graffiti at Brooklyn Union Temple Synagogue https://t.co/C1CReuDnCJ"
"9","@McCrayNick There r more white drug users &amp;  dealers in US. The majority of the prison population for drug crime is Black &amp; Brown."
"10","I liked a @YouTube video https://t.co/VxcrCrCt70 DANE/NATURE BOY/POLIGHT THE AFTER EFFECT: WHITE SUPREMACISTS STILL #1 THREAT TO BLACK"
"11","Most compelling reason to regulate AI in medicine ‘to reduce algorithm biases again minorities (blacks , hispanics etc)’ that may negatively impact those populations. Dr Leo Anthony Celi #riskybiz2018 #AI #artificialintelligence"
"12","@mikewills1962 @mschlapp Who told you abolitionist wanted blacks to vote or to have ""social equality""     - it was not the abolitionist.    A common bit of stupid is that we think abolitionist were for social equality. Oh hell no.

In fact, abolitionist hated the union more than Southern leaders"
"13","@tylerperry  Can you please speak on blacks growing small gardens inside and out. We need to GARDEN FOR OUR LIVES. And some juice recipes like apple, carrot, lemon, ginger, beet, cucumber, celery, and tomatoes."
"14","@MichelleHughes_ There’s a lot of ppl who march with guns I seen a republican women with a gun at a college with no type of empathy for school mass shootings. Long as they are not pointing to anyone, if others can do it y not blacks?!"
"15","@angeIbaaby i used to smoke carnival menthols and then marlboro blacks, but i feel like golds have a much better taste idk"
"16","@VibeHi Abrams is not an organic Black leader. Hell she ain’t even from Ga. She’s just another Manchurian style candidate created by the White Liberal establishment to trick Blacks and women into voting for the leftist agenda."
"17","@pfabiani @ava @rihanna The systematic oppression of black people in America since the end of slavery by is what has kept blacks down &amp; out &amp; reliant on the government. America was/is set up to keeps blacks down &amp; out , there has just been parties that have grown to try and fix that."
"18","Say this all the time NO blacks can not be racists we don’t have the power https://t.co/duI54AbSdU"
"19","@marindmode @VictorZapat1 @socialistphilly @FoxNews I am sorry you are scared. I don’t fear Mexicans, Chinese, Japanese, Muslims, Blacks or Native Americans. America is meant to be a melting pot of ideas and people."
"20","Democrat voters should realize that as their party leaders allow more illegals to come to the USA, their leaders will bc more powerful n richer. The regular folk will not. They will pay more n more taxes to take care of all these people who r not able to pay taxes. https://t.co/n2Z3HzKOwr"
"21","@WhstleBritches Texas has a special problem...crazies from California moving there, illegals living there. They all contribute to the change that is happening to your state. You may need to form citizen hit groups and fix the problem yourselves."
"22","@SWAguilarNelson @kevinisbatman1 @mwilnau @oxminaox they are only saying they don't want ILLEGALs."
"23","@CBSThisMorning as a registered Independent,my main concern  is  the caravan and illegals...unemployment is low...housing is still affordable...Voting Red..."
