variable,value,n
provstate,Alabama,0
provstate,Alaska,0
provstate,Arizona,0
provstate,Arkansas,0
provstate,California,0
provstate,Colorado,0
provstate,Connecticut,0
provstate,Delaware,0
provstate,District of Columbia,0
provstate,Florida,0
provstate,Georgia,0
provstate,Hawaii,0
provstate,Idaho,0
provstate,Illinois,0
provstate,Indiana,0
provstate,Iowa,0
provstate,Kansas,0
provstate,Kentucky,0
provstate,Louisiana,0
provstate,Maine,0
provstate,Maryland,0
provstate,Massachusetts,0
provstate,Michigan,0
provstate,Minnesota,0
provstate,Mississippi,0
provstate,Missouri,0
provstate,Montana,0
provstate,Nebraska,0
provstate,Nevada,0
provstate,New Hampshire,0
provstate,New Jersey,0
provstate,New Mexico,0
provstate,New York,0
provstate,North Carolina,0
provstate,North Dakota,0
provstate,Ohio,0
provstate,Oklahoma,0
provstate,Oregon,0
provstate,Pennsylvania,0
provstate,Puerto Rico,0
provstate,Rhode Island,0
provstate,South Carolina,0
provstate,South Dakota,0
provstate,Tennessee,0
provstate,Texas,0
provstate,Unknown,0
provstate,Utah,0
provstate,Vermont,0
provstate,Virginia,0
provstate,Washington,0
provstate,West Virginia,0
provstate,Wisconsin,0
provstate,Wyoming,0
